English,Russian
tells,сообщает
knock,поступить
gives,дает
department,отделение
nose,нос
turns,повороты
keeps,сохраняет
beer,пиво
jealous,ревнивый
drug,лекарство
sooner,раньше
cares,заботы
plenty,множество
extra,дополнительный
won,выиграл
attack,атака
ground,земля
whose,чей
weekend,выходные
matters,имеет значение
wrote,написал
type,тип
father 's,отец
gosh,чертовски
opportunity,возможность
king,король
impossible,невозможный
books,книги
waste,напрасно тратить
pretend,притворяться
named,названный
danger,Опасность
eating,принимать пищу
proof,доказательство
complete,полный
slept,спала
career,карьера
arrest,арест
star,звезда
breathe,дышать
perfectly,в совершенстве
warm,теплый
pulled,вытянут
Maria,Мария
twice,дважды
easier,Полегче
killer,убийца
goin ',входить '
dating,встречаться
suit,подходить
romantic,романтик
drugs,наркотики
comfortable,комфортный
finds,находит
checked,проверял
fit,соответствовать
divorce,развод
begin,начинать
ourselves,сами
closer,ближе
ruin,руина
although,хотя
smile,улыбка
laugh,смех
fish,рыба
Abigail,Эбигейл
treat,обращаться
god 's,Боже
fear,страх
otherwise,в противном случае
excited,взволнованный
mail,почта
hiding,прячется
cost,расходы
stole,украл
noticed,заметил
fired,уволенный
Whitney,Уитни
excellent,отличный
lived,жил
bringing,принесение
bottom,нижний
note,примечание
sudden,внезапный
church,церковь
bathroom,ванная комната
flight,полет
honestly,честно
sing,петь
foot,ступня
games,игры
glass,стекло
remind,напоминать
bank,банк
charges,обвинения
witness,свидетель
finding,нахождение
places,места
tree,дерево
dare,осмеливаться
hardly,едва ли
that'll,это будет
interest,интерес
steal,воровать
princess,принцесса
silly,глупый
contact,контакт
teach,учат
shop,магазин
plus,плюс
colonel,полковник
fresh,свежий
trial,пробный
invited,приглашен
roll,рулон
radio,радио
art,искусство
reach,достигать
dirty,грязный
choose,выбирать
emergency,чрезвычайная ситуация
dropped,упавший
butt,приклад
credit,кредит
obvious,очевидный
cry,плакать
locked,заперт
loving,любящий
positive,положительный
nuts,ореховой
agreed,согласованный
price or Price,цена или цена
goodbye,до свидания
condition,состояние
guard,сторожить
fuckin ',чертовски
grow,расти
cake,торт
mood,настроение
dad 's,папа
Bianca,Бьянка
total,общий
crap,дерьмо
crying,плач
belong,принадлежать
lay,класть
partner,Партнер
trick,обманывать
pressure,давление
arm,рука
dressed,одетый
cup,чашка
lies,ложь
bus,автобус
taste,вкус
neck,шея
south,юг
something 's,что -то
nurse,медсестра
raise,поднимать
land,земля
cross,крест
lots,много
carry,нести
group,группа
whoever,Кто бы ни был
Eddie,Эдди
drinking,питьевой
they'd,они бы
breaking,разрыв
file,файл
lock,замок
computer,компьютер
wine,вино
closed,закрыто
writing,письмо
spot,место
paying,оплата
study,изучать
assume,предполагать
asleep,спящий
man 's,человек
turning,превращение
legal,юридический
justice,справедливость
bedroom,Спальня
shower,душ
Nikolas,Николас
camera,камера
fill,наполнять
reasons,Причины
forty,сорок
bigger,больше
nope,неа
keys,Ключи
Starr,Старр
breath,дыхание
doctors,врачи
pants,брюки
freak,ненормальный
level,уровень
French,Французский
movies,кино
gee,Джи
Monica,Моника
action,действие
area,область
folks,близкие
continue,продолжать
focus,фокус
wild,дикий
truly,действительно
desk,рабочий стол
convince,убеждать
client,клиент
threw,выбросить
Taylor,Тейлор
band,группа
hurts,болит
Charles,Чарльз
spending,расходы
field or Field,поле или поле
allow,позволять
grand,гранд
answers,ответы
shirt,рубашка
chair,стул
Christ or christ,Христос или Христос
allowed,допустимый
rough,грубый
ought,должен
empty,пустой
round,круглый
lights,свет
insane,безумный
hall or Hall,зал или зал
hat,шапка
bastard,сволочь
wind,ветер
shows,шоу
aware,осведомленный
dealing,сделка
pack,пакет
meaning,значение
flowers,цветы
tight,тугой
hurting,причинять боль
ship,корабль
subject,предмет
guest,гость
mom 's,мама
chicken,курица
pal,приятель
match,соответствовать
Elaine,Элейн
arrested,арестован
sun,солнце
Rachel,Рэйчел
Salem,Салем
confused,смущенный
surgery,операция
expecting,ожидая
deacon,дьякон
Colleen,Коллин
unfortunately,к сожалению
goddamn,Черт возьми
lab,лаборатория
passed,прошедший
bottle,бутылка
beyond,вне
whenever,в любое время
pool,бассейн
opinion,мнение
naked,голый
held,держал
common,общий
starts,начинается
jerk,придурок
secrets,секреты
falling,падение
played,играл
necessary,необходимый
barely,едва
video,видео
cousin,двоюродный брат
planned,запланировано
dry,сухой
ahem,хм
twelve,двенадцать
simply,просто
skin,кожа
often,часто
fifteen,пятнадцать
spirit,дух
names,имена
issue,проблема
orders,приказ
believed,поверил
complicated,сложный
research,исследовать
nowhere,нигде
escape,побег
biggest,самый большой
restaurant,ресторан
grateful,благодарный
usual,обычный
burn,гореть
Chicago,Чикаго
Austin,Остин
address,адрес
within,в пределах
someplace,где -нибудь
screw,винт
everywhere,повсюду
train,тренироваться
film,фильм
regret,сожалеть
goodness,добро
mistakes,ошибки
details,подробности
responsibility,ответственность
suspect,подозревать
corner,угол
hero,герой
dumb,тупой
terrific,потрясающий
mission,миссия
further,дальше
Amy,Эми
gas,газ
whoo,выходы
hole,дыра
memories,воспоминания
truck,грузовик
following,следующий
ended,закончился
nobody 's,никто
teeth,зубы
ruined,разрушен
split,расколоть
bear,медведь
airport,аэропорт
bite,кусать
smoke,дымка
Stenbeck,Стенбек
older,старшая
liar,лжец
horse,лошадь
project,проект
cards,карты
desperate,отчаянный
themselves,сами себя
pathetic,жалкий
damage,повреждать
spoke,говорил
quickly,быстро
scare,напугать
brown or Brown,коричневый или коричневый
afford,предоставлять
vote,голосование
settle,решить
gold,золото
mentioned,упомянул
due,должный
passion,страсть
stayed,остались
rule,правило
Friday,Пятница
checking,Проверка
tie,галстук
hired,наемный
upon,на
rush or Rush,спешка или спешка
Tad,Взволнованный
heads,головы
concern,беспокойство
blew,взорвали
natural,естественный
champagne,шампанское
connection,связь
tickets,Билеты
Kate,Катя
finger,Палец
happiness,счастье
form,форма
saving,сохранение
kissing,поцелуя
hated,ненавистный
personally,лично
suggest,предлагать
prepared,готовый
build,строить
leg,нога
onto,на
leaves,листья
downstairs,вниз по лестнице
ticket,билет
it'd,это было бы
taught,учил
loose,свободный
holy,Святой
staff,персонал
sea,море
planet,планета
duty,долг
convinced,убежденный
throwing,бросание
defense,защита
kissed,поцеловал
legs,ноги
Dave,Дэйв
according,согласно
loud,громкий
where'd,где D
warning,предупреждение
miracle,чудо
carrying,ношение
blind,слепой
queen,королева
ugly,уродливый
shopping,Покупка
hates,ненавидит
monster,монстр
sight,взгляд
vampire,вампир
bride,невеста
coat,пальто
account,счет
states,состояния
clearly,четко
celebrate,праздновать
brilliant,блестящий
wanting,желание
add,добавлять
moon,луна
lips,губы
custody,попечение
center,центр
screwed,привинченный
buying,Покупка
size,размер
toast,тост
thoughts,мысли
student,студент
stories,истории
however,однако
professional,профессионал
stars,звезда
reality,реальность
birth,рождение
attitude,отношение
advantage,преимущество
grandfather,Дед
sold,продал
opened,открыл
someday,когда -нибудь
grade,оценка
cheese,сыр
roof,крыша
brothers,братья
signed,подписанный
marrying,жениться
powerful,мощный
grown,вырос
grandmother,бабушка
fake,фальшивый
opening,открытие
Sally,Салли
Stephanie,Стефани
expected,ожидал
eventually,в конце концов
must've,Должен
ideas,идеи
exciting,захватывающий
covered,покрытый
familiar,привычный
bomb,бомбить
bout,поступок
television,телевидение
harmony or Harmony,гармония или гармония
color,цвет
heavy,тяжелый
schedule,расписание
records,записи
dollar,доллар
capable,способный
master,владелец
numbers,числа
practically,практически
including,включая
correct,правильный
clue,зацепка
forgotten,забыто
immediately,немедленно
appointment,встреча
social,Социальное
nature,природа
deserves,заслуживает
west or West,запад или запад
teacher,учитель
threat,угроза
bloody,кровавый
lonely,одинокий
ordered,заказал
shame,стыд
local,местный
jacket,куртка
hook,крюк
destroyed,уничтожен
scary,страшный
loser,неудачник
investigation,расследование
above,выше
invite,приглашать
shooting,стрельба
merry,веселый
port,порт
precious,драгоценный
lesson,урок
criminal,преступник
growing,растущий
caused,вызванный
victim,жертва
professor,профессор
followed,следовал
funeral,похороны
nothing 's,ничего
dean,декан
considering,учитывая
burning,сжигание
couch,диван
strength,сила
harder,Сильнее
loss,потеря
view,вид
beauty,красота
sisters,сестры
everybody 's,все
several,несколько
pushed,толкнулся
written,написано
somebody 's,кто -то
shock,шок
pushing,толчок
heat,нагревать
chocolate,шоколад
greatest,величайший
miserable,убогий
Corinthos,Коринтос
nightmare,кошмар
energy,энергия
brings,приносит
became,стал
famous,известный
enemy,враг
crash,крушение
chances,шансы
sending,отправка
recognize,распознавать
healthy,здоровый
boring,скучный
feed,кормить
engaged,помолвлен
percent,процент
headed,во главе
Brandon,Брэндон
lines,линии
treated,обработанный
purpose,цель
rights,Права
drag,тащить
fan,вентилятор
badly,плохо
speed,скорость
hire,нанимать
curious,любопытный
paint,краска
pardon,помиловать
built,построенный
behavior,поведение
closet,шкаф
warn,предупреждать
gorgeous,великолепный
post,почта
